Title,Genres,Runtime,IMDB,Director
The Pledge,Crime Drama Mystery Thriller,123.0,6.5,Sean Penn
The White Countess,Drama History Family Romance,135.0,6.9,James Ivory
What Just Happened,Comedy Drama,104.0,5.2,Barry Levinson
Brighton Rock,Drama Thriller Crime,111.0,5.6,Rowan Joffe
The Queen,Drama,103.0,6.8,Stephen Frears
Blood and Wine,Crime Drama Thriller,101.0,5.5,Bob Rafelson
Gosford Park,Drama Mystery Thriller,137.0,6.8,Robert Altman
The Black Dahlia,Drama,121.0,5.7,Brian De Palma
My All American,Drama,118.0,6.8,Angelo Pizzo
A Few Good Men,Drama,138.0,7.1,Rob Reiner
RED 2,Action Comedy Crime Thriller,116.0,6.4,Dean Parisot
Suspect Zero,Crime Thriller,99.0,5.5,E. Elias Merhige
The Last Station,Drama Romance,112.0,6.7,Michael Hoffman
Paycheck,Action Adventure Mystery Science Fiction Thriller,119.0,5.9,John Woo
The Singing Detective,Comedy Music Mystery Crime,109.0,5.9,Keith Gordon
The Dark Knight,Drama Action Crime Thriller,152.0,8.2,Christopher Nolan
As Good as It Gets,Comedy Romance,139.0,7.2,James L. Brooks
Critical Care,Comedy Drama,107.0,6.1,Sidney Lumet
Last Orders,Comedy Drama,109.0,6.0,Fred Schepisi
The Tempest,Drama Fantasy,110.0,6.0,Julie Taymor
The Bucket List,Drama Comedy,97.0,7.0,Rob Reiner
Soul Surfer,Action Drama,106.0,6.9,Sean McNamara
Woman in Gold,Drama,120.0,7.3,Simon Curtis
Déjà Vu,Romance Drama,117.0,8.0,Henry Jaglom
Anonymous,Drama History Thriller,130.0,6.3,Roland Emmerich
The Debt,Drama Thriller,113.0,6.3,John Madden
The Departed,Drama Thriller Crime,151.0,7.9,Martin Scorsese
Love Ranch,Drama,117.0,6.0,Taylor Hackford
Howards End,Drama Romance,140.0,6.9,James Ivory
Deep Impact,Action Drama Romance,120.0,5.9,Mimi Leder
